Kristin,57,23,9,2,0,10,10,4,115
Opponent,47,27,11,2,7,3,15,10,122
,,,,,,,,,
Kristin,54,15,2,8,10,0,15,11,115
Opponent,43,6,14,15,21,0,12,9,120
,,,,,,,,,
Kristin,42,10,14,6,6,34,12,6,130
Opponent,46,10,11,14,0,24,9,9,123
,,,,,,,,,
Kristin,68,13,11,0,18,4,12,15,141
Opponent,55,9,3,0,20,5,10,9,111
,,,,,,,,,
Kristin,53,17,10,6,0,2,12,9,109
Opponent,33,23,9,22,5,12,9,10,123
,,,,,,,,,
Kristin,50,13,14,11,5,23,12,7,135
Opponent,43,10,2,29,0,3,7,11,105
,,,,,,,,,
Kristin,41,31,9,16,1,3,10,10,121
Opponent,42,14,9,11,0,2,9,11,98
,,,,,,,,,
Kristin,40,19,10,5,5,19,12,7,117
Opponent,52,6,11,17,0,3,9,10,108
,,,,,,,,,
Kristin,43,10,5,5,4,25,12,5,109
Opponent,44,10,9,6,8,1,15,9,102
,,,,,,,,,
Kristin,52,21,7,9,10,0,15,9,123
Opponent,45,19,9,26,8,10,9,11,137
,,,,,,,,,
Kristin,51,16,5,11,8,7,15,12,125
Opponent,52,9,14,17,1,9,9,8,119
,,,,,,,,,
Kristin,54,20,3,2,10,0,15,11,115
Opponent,45,30,9,10,10,8,4,12,128
,,,,,,,,,
Kristin,38,8,9,0,0,48,10,4,117
Opponent,53,24,5,4,0,1,9,9,105
,,,,,,,,,
Kristin,44,6,14,2,5,10,15,11,107
Opponent,61,24,12,4,0,1,6,11,119
,,,,,,,,,
Kristin,55,4,11,16,30,11,12,14,153
Opponent,58,12,3,10,0,29,9,7,128
,,,,,,,,,
Kristin,44,8,11,7,4,11,5,8,98
Opponent,58,18,10,0,14,3,12,7,122
,,,,,,,,,
Kristin,43,14,12,13,0,15,12,13,122
Opponent,51,32,7,7,0,3,9,9,118
,,,,,,,,,
Kristin,44,16,11,3,8,19,12,9,122
Opponent,35,9,3,41,0,7,9,11,115
,,,,,,,,,
Kristin,57,8,9,6,0,8,15,10,113
Opponent,67,24,7,1,1,0,6,12,118
,,,,,,,,,
Kristin,50,16,14,4,0,14,12,9,119
Opponent,52,28,12,4,0,9,12,11,128
,,,,,,,,,
Kristin,57,9,9,8,5,14,9,9,120
Opponent,55,16,11,4,12,3,15,5,121
,,,,,,,,,
Kristin,51,22,14,13,0,6,15,11,132
Opponent,40,11,3,5,12,5,7,4,87
,,,,,,,,,
Kristin,42,18,7,8,6,10,9,9,109
Opponent,50,27,14,3,0,26,15,9,144
,,,,,,,,,
Kristin,56,12,10,9,7,0,12,9,115
Opponent,49,20,9,5,0,9,9,9,110
,,,,,,,,,
Kristin,40,15,10,2,29,7,15,10,128
Opponent,49,9,9,9,0,36,10,8,130
,,,,,,,,,
Kristin,46,9,14,12,16,9,9,8,123
Opponent,53,14,7,16,3,8,10,13,124
,,,,,,,,,
Kristin,51,31,12,13,7,0,9,11,134
Opponent,57,12,2,3,2,8,12,7,103
,,,,,,,,,
Kristin,48,0,11,6,12,9,7,9,102
Opponent,42,8,8,17,0,12,15,6,108
,,,,,,,,,
Kristin,56,10,8,4,6,6,6,10,106
Opponent,51,22,6,2,9,5,15,5,115
,,,,,,,,,
Kristin,53,20,11,11,0,11,12,7,125
Opponent,56,28,10,10,8,4,10,11,137
,,,,,,,,,
Kristin,45,21,7,17,0,5,12,10,117
Opponent,43,16,14,7,0,30,5,11,126
,,,,,,,,,
Kristin,50,10,14,14,6,0,15,10,119
Opponent,29,12,4,13,20,21,6,5,110
,,,,,,,,,
Kristin,54,7,14,0,1,13,12,10,111
Opponent,51,26,0,8,4,0,15,11,115
,,,,,,,,,
Kristin,64,7,9,7,1,6,12,11,117
Opponent,60,26,5,13,0,7,9,11,131
,,,,,,,,,
Kristin,43,14,7,1,8,18,9,11,111
Opponent,38,15,7,3,14,8,12,8,105
,,,,,,,,,
Kristin,54,12,5,6,3,16,6,11,113
Opponent,54,14,14,5,27,6,15,11,146
,,,,,,,,,
Kristin,32,11,11,13,3,14,15,9,108
Opponent,33,32,3,26,0,0,9,9,112
,,,,,,,,,
Kristin,46,11,9,9,1,22,7,10,115
Opponent,42,10,5,10,0,7,12,9,95
,,,,,,,,,
Kristin,49,7,14,9,0,13,15,13,120
Opponent,52,16,7,12,5,12,6,8,118
,,,,,,,,,
Kristin,46,9,14,2,6,6,9,13,105
Opponent,51,26,4,7,0,8,12,8,116
,,,,,,,,,
Kristin,43,8,3,14,9,0,15,12,104
Opponent,57,40,14,4,12,0,6,8,141
,,,,,,,,,
Kristin,38,23,7,9,3,17,12,8,117
Opponent,57,30,11,13,0,4,9,12,136
,,,,,,,,,
Kristin,54,5,11,6,15,3,15,12,121
Opponent,49,12,8,22,1,8,9,11,120
,,,,,,,,,
Kristin,36,18,5,3,6,16,15,11,110
Opponent,48,16,9,16,0,5,9,7,110
,,,,,,,,,
Kristin,37,17,5,4,8,17,9,8,105
Opponent,51,19,9,8,0,9,15,13,124
,,,,,,,,,
Kristin,50,11,14,1,39,0,6,7,128
Opponent,49,9,12,6,5,4,15,12,112
,,,,,,,,,
Kristin,38,9,9,3,3,28,6,9,105
Opponent,56,19,5,3,4,6,15,14,122
,,,,,,,,,
Kristin,53,13,6,16,3,8,9,10,118
Opponent,45,27,10,20,1,9,12,10,134
,,,,,,,,,
Kristin,31,14,12,13,0,18,9,11,108
Opponent,39,18,5,24,0,3,12,6,107
,,,,,,,,,
Kristin,41,13,7,6,0,17,9,6,99
Opponent,42,16,14,2,16,10,10,8,118
,,,,,,,,,
Kristin,70,22,5,5,0,3,12,14,131
Opponent,52,29,11,2,14,4,10,10,132
,,,,,,,,,
Kristin,47,12,12,15,0,17,6,11,120
Opponent,53,17,7,15,9,9,15,9,134
,,,,,,,,,
Kristin,52,17,14,11,0,14,12,13,133
Opponent,64,17,3,2,2,4,7,8,107
,,,,,,,,,
Kristin,43,8,14,5,14,24,9,12,129
Opponent,46,7,2,18,0,6,15,9,103
,,,,,,,,,
Kristin,49,11,14,0,0,6,9,12,101
Opponent,62,7,5,2,24,0,15,7,122
,,,,,,,,,
Kristin,52,10,14,7,0,14,15,10,122
Opponent,23,0,0,1,0,84,6,8,122
,,,,,,,,,
Kristin,45,6,5,7,0,15,7,10,95
Opponent,44,20,9,15,11,6,12,12,129
,,,,,,,,,
Kristin,48,21,14,5,11,8,12,13,132
Opponent,56,17,5,4,0,3,12,10,107
,,,,,,,,,
Kristin,35,19,5,8,1,18,6,4,96
Opponent,52,8,14,3,21,0,15,11,124
,,,,,,,,,
Kristin,38,9,2,11,9,7,2,11,89
Opponent,42,24,12,14,1,5,15,11,124
,,,,,,,,,
Kristin,38,15,14,3,7,7,12,7,103
Opponent,45,27,6,13,0,3,10,11,115
,,,,,,,,,
Kristin,38,11,14,11,8,7,10,5,104
Opponent,58,4,2,4,15,12,9,9,113
,,,,,,,,,
Kristin,49,5,9,0,18,21,9,12,123
Opponent,60,24,5,12,15,0,15,11,142
,,,,,,,,,
Kristin,42,11,5,13,2,19,9,7,108
Opponent,45,5,14,4,1,9,12,7,97
,,,,,,,,,
Kristin,45,33,9,1,2,5,12,6,113
Opponent,41,29,7,19,0,2,9,12,119
,,,,,,,,,
Kristin,47,16,5,1,5,2,15,6,97
Opponent,35,0,9,6,0,71,6,7,134
,,,,,,,,,
Kristin,61,13,14,3,17,0,10,9,127
Opponent,51,3,9,21,5,7,9,11,116
,,,,,,,,,
Kristin,41,20,10,0,0,24,15,8,118
Opponent,39,16,6,16,0,3,6,12,98
,,,,,,,,,
Kristin,42,11,14,6,11,1,12,12,109
Opponent,46,23,0,9,1,11,12,12,114
,,,,,,,,,
Kristin,56,9,10,7,9,7,9,9,116
Opponent,63,23,4,4,0,5,12,11,122
,,,,,,,,,
Kristin,44,16,9,6,18,12,12,10,127
Opponent,63,10,5,9,6,3,9,11,116
,,,,,,,,,
Kristin,39,16,12,2,13,6,12,7,107
Opponent,46,18,11,12,4,17,9,8,125
,,,,,,,,,
Kristin,46,8,2,23,8,1,7,6,101
Opponent,42,6,14,9,11,13,12,7,114
,,,,,,,,,
Kristin,44,6,8,3,8,32,10,7,118
Opponent,64,36,7,1,3,13,9,9,142
,,,,,,,,,
Kristin,50,20,9,9,5,10,15,11,129
Opponent,57,14,5,5,27,0,9,6,123
,,,,,,,,,
Kristin,54,3,14,11,21,15,9,11,138
Opponent,65,25,11,10,24,2,12,8,157
,,,,,,,,,
Kristin,59,11,14,24,0,2,12,13,135
Opponent,58,19,11,12,14,9,9,10,142
,,,,,,,,,
Kristin,48,24,4,5,17,7,6,11,122
Opponent,46,31,8,11,15,17,15,5,148
,,,,,,,,,
Kristin,45,10,9,16,7,13,9,9,118
Opponent,65,21,7,5,20,7,12,9,146